number,git_base_exists,git_head_exists,git_merge_sha_exists,git_merge_base_sha,git_base_is_ancestor_of_head,git_merge_base_is_base,git_commits_behind_base,git_commits_ahead_base,git_files_changed,git_additions,git_deletions,git_changes,git_deletion_ratio,git_filenames,git_touch_main_js,git_touch_config_js,git_touch_anchorage,git_touch_landmark,git_touch_validator,git_added_files,git_modified_files,git_removed_files,git_renamed_or_copied_files,git_base_cosmic_sights,git_head_cosmic_sights,git_cosmic_sights_delta
1,1,1,1,78ac471e3cee23156e6fe5b868ae1d7530189187,0,0,4,1,2,23,160,183,0.8743169398907104,config.js;landmarks/strata.js,0,1,0,1,0,0,1,1,0,,,
2,1,1,0,b65b8e7abfe8afd44536aed463106b82255e4255,0,0,394,2,128,271,33687,33958,0.99201955356617,DAY399_FINAL_REPORT.md;DEBUGGING_TOOLS_GUIDE.md;EVENT_SYSTEM_INTEGRATION.md;EVENT_SYSTEM_STATUS_SUMMARY.md;achievements-debug.js;audio.js;challenge-ui.js;config.js;cosmic-sight-category-hud.js;cosmic-sight-compass.js;cosmic-sight-log.js;cosmic-sight-markers.js;cosmic-sight-tracker.js;cosmic-sights-atlas.js;day-night-cycle.js;diagnostics.js;ecosystem-api.js;event-banner.js;event-system-integration-example.html;event-system-loader.js;event-visual-integration.js;final-day399-verification.js;index.html;landmarks/active-galactic-nucleus.js;landmarks/anchorage.js;landmarks/asteroid-field.js;landmarks/automation-observatory.js;landmarks/binary-stars.js;landmarks/black-hole.js;landmarks/blazar.js;landmarks/blue-straggler.js;landmarks/bow-shock-nebula.js;landmarks/brown-dwarf.js;landmarks/canonical-observatory.js;landmarks/canvas-landmark.js;landmarks/central-plaza.js;landmarks/cepheid-variable.js;landmarks/circumbinary-planet.js;landmarks/comet.js;landmarks/constellation-lines.js;landmarks/cosmic-comets.js;landmarks/cosmic-maelstrom.js;landmarks/cosmic-ray-shower.js;landmarks/cosmic-string.js;landmarks/cosmic-void.js;landmarks/cosmic-wanderer.js;landmarks/cosmic-web.js;landmarks/dark-energy-bubble.js;landmarks/dark-matter-halo.js;landmarks/deep-pulsar-pings.js;landmarks/distant-galaxies.js;landmarks/drift-landmark.js;landmarks/edge-garden-landmark.js;landmarks/exoplanet-system.js;landmarks/fast-radio-burst.js;landmarks/galaxy-collision.js;landmarks/galaxy-dust.js;landmarks/gamma-ray-burst.js;landmarks/globular-cluster.js;landmarks/gravitational-lens.js;landmarks/herbig-haro-object.js;landmarks/hypervelocity-star.js;landmarks/interstellar-medium.js;landmarks/liminal-archive.js;landmarks/luminous-index-landmark.js;landmarks/magnetar-burst.js;landmarks/magnetar.js;landmarks/narrative-connections.js;landmarks/nebula.js;landmarks/neutron-star-crust-quake.js;landmarks/neutron-star-merger.js;landmarks/open-cluster.js;landmarks/pattern_archive.js;landmarks/planetary-nebula.js;landmarks/planetary-system.js;landmarks/plaza-beacon.js;landmarks/plaza-fountain.js;landmarks/primordial-black-hole.js;landmarks/proof-constellation.js;landmarks/protoplanetary-disk.js;landmarks/provenance-lab.js;landmarks/pulsar-wind-nebula.js;landmarks/pulsar.js;landmarks/quasar.js;landmarks/radio-lobe.js;landmarks/red-giant.js;landmarks/relativistic-jet.js;landmarks/ring-galaxy.js;landmarks/ringed-planet.js;landmarks/rogue-planet.js;landmarks/seyfert-galaxy.js;landmarks/signal-cartographer-landmark.js;landmarks/solar-flare.js;landmarks/sonnet-45-landmark.js;landmarks/stellar-nursery.js;landmarks/stellar-wind-collision.js;landmarks/strata.js;landmarks/supernova-remnant.js;landmarks/symbiotic-star.js;landmarks/thorne-zytkow-object.js;landmarks/voyager-probe.js;landmarks/welcome-obelisk.js;landmarks/white-dwarf.js;landmarks/wolf-rayet-star.js;landmarks/wormhole.js;main.js;map.html;pattern_archive_enhanced.js;pattern_archive_enhanced_patch.js;photo-gallery.js;photo-mode.js;quick-test-summary.js;test-achievements-verification.js;test-ecosystem.html;test-event-integration.js;test-integration-comprehensive.js;test-narrative-arcs-guide.md;test-narrative-webweaver.js;test-photo-gallery.js;test-universe-verification.js;test-verification-dashboard.html;test-webweaver-directory-fix.js;tour-mode.js;universe-coordination.js;universe-events.js;verify-fixes.js;visitor-tracker.js;world-beacons.js,1,1,1,1,0,0,5,123,0,,,
4,1,1,1,e2bf20fe4304ad01b9da09cb7bb6394d1787ca6d,1,1,0,1,1,276,0,276,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
5,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,1,6,401,0,401,0.0,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,0,0,0,0,1,6,0,0,0,,,
6,1,1,1,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,2,7,473,72,545,0.13211009174311927,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;main.js;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,1,0,0,0,1,6,1,0,0,,,
7,1,1,1,a1897bff50ba3866ac226b12fc7b73eb81fad2f0,1,1,0,2,2,63,0,63,0.0,main.js;package-lock.json,1,0,0,0,0,1,1,0,0,,,
8,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,1,1,0,72,72,1.0,main.js,1,0,0,0,0,0,1,0,0,,,
9,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,0,0,2,1,7,72,473,545,0.8678899082568807,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;main.js;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,1,0,0,0,1,0,1,6,0,,,
10,1,1,1,0181fc3d9e302d3e374868eb53ff850950b70102,1,1,0,1,1,26,1,27,0.037037037037037035,main.js,1,0,0,0,0,0,1,0,0,,,
11,1,1,1,6622b980f327a25dc7433b77a986db820a94b595,1,1,0,1,1,152,0,152,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
