base_ref,base_sha,closed_at,created_at,draft,head_ref,head_sha,html_url,merge_commit_sha,merged_at,number,state,title,updated_at,user,files_changed,additions,deletions,changes,deletion_ratio,touch_main_js,touch_config_js,touch_anchorage,touch_landmark,touch_validator,added_files,modified_files,removed_files,filenames,kw_stale,kw_rollback,kw_sparse,kw_post_array,kw_duplicate,kw_green_but_bad,kw_not_merge_safe,kw_merge_safe_positive,comment_count,comment_chars,risk_comment_label,title_cosmic_batch,title_landmark,title_fix,slot_start,slot_end,slot_span,merged,closed_unmerged,open,created_hour_utc,created_date,minutes_since_prev_merge,merges_prior_30m,prs_created_prior_30m,git_base_exists,git_head_exists,git_merge_sha_exists,git_merge_base_sha,git_base_is_ancestor_of_head,git_merge_base_is_base,git_commits_behind_base,git_commits_ahead_base,git_files_changed,git_additions,git_deletions,git_changes,git_deletion_ratio,git_filenames,git_touch_main_js,git_touch_config_js,git_touch_anchorage,git_touch_landmark,git_touch_validator,git_added_files,git_modified_files,git_removed_files,git_renamed_or_copied_files,git_base_cosmic_sights,git_head_cosmic_sights,git_cosmic_sights_delta
main,d30cb98d3e5ca62e9dcab2bee3167c273ffc74c3,2026-05-04 17:15:48+00:00,2026-05-04 17:10:37+00:00,False,add-pattern-archive,c3b17d8b7297e1fe4e5987a9c95d2215f9843f92,https://github.com/ai-village-agents/the-universe/pull/1,7175e3993ffc460a6104b9c2a5af4403d5df5112,2026-05-04 17:15:48+00:00,1,closed,Add Pattern Archive to universe configuration,2026-05-04 17:15:48+00:00,deepseek-v32,1,40,0,40,0.0,0,1,0,0,0,0,1,0,config.js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,17,2026-05-04,,0,0,1,1,1,78ac471e3cee23156e6fe5b868ae1d7530189187,0,0,4,1,2,23,160,183,0.8743169398907104,config.js;landmarks/strata.js,0,1,0,1,0,0,1,1,0,,,
main,1ecf213568e04f2817d805d13b31ec5d923c363b,2026-05-08 19:25:25+00:00,2026-05-04 17:15:14+00:00,False,emergency-coordination-reconciliation,b301c0004f45c07ad1e734bcfb05f85a8d42bb28,https://github.com/ai-village-agents/the-universe/pull/2,,,2,closed,[EMERGENCY] Reconcile universe configuration - restore all 14+ worlds,2026-05-08 19:25:25+00:00,deepseek-v32,2,239,4,243,0.01646090534979424,0,1,0,1,0,1,1,0,config.js;landmarks/pattern_archive.js,1,1,0,0,0,0,1,0,1,268,1,0,1,0,,,,0,1,0,17,2026-05-04,,0,1,1,1,0,b65b8e7abfe8afd44536aed463106b82255e4255,0,0,394,2,128,271,33687,33958,0.99201955356617,DAY399_FINAL_REPORT.md;DEBUGGING_TOOLS_GUIDE.md;EVENT_SYSTEM_INTEGRATION.md;EVENT_SYSTEM_STATUS_SUMMARY.md;achievements-debug.js;audio.js;challenge-ui.js;config.js;cosmic-sight-category-hud.js;cosmic-sight-compass.js;cosmic-sight-log.js;cosmic-sight-markers.js;cosmic-sight-tracker.js;cosmic-sights-atlas.js;day-night-cycle.js;diagnostics.js;ecosystem-api.js;event-banner.js;event-system-integration-example.html;event-system-loader.js;event-visual-integration.js;final-day399-verification.js;index.html;landmarks/active-galactic-nucleus.js;landmarks/anchorage.js;landmarks/asteroid-field.js;landmarks/automation-observatory.js;landmarks/binary-stars.js;landmarks/black-hole.js;landmarks/blazar.js;landmarks/blue-straggler.js;landmarks/bow-shock-nebula.js;landmarks/brown-dwarf.js;landmarks/canonical-observatory.js;landmarks/canvas-landmark.js;landmarks/central-plaza.js;landmarks/cepheid-variable.js;landmarks/circumbinary-planet.js;landmarks/comet.js;landmarks/constellation-lines.js;landmarks/cosmic-comets.js;landmarks/cosmic-maelstrom.js;landmarks/cosmic-ray-shower.js;landmarks/cosmic-string.js;landmarks/cosmic-void.js;landmarks/cosmic-wanderer.js;landmarks/cosmic-web.js;landmarks/dark-energy-bubble.js;landmarks/dark-matter-halo.js;landmarks/deep-pulsar-pings.js;landmarks/distant-galaxies.js;landmarks/drift-landmark.js;landmarks/edge-garden-landmark.js;landmarks/exoplanet-system.js;landmarks/fast-radio-burst.js;landmarks/galaxy-collision.js;landmarks/galaxy-dust.js;landmarks/gamma-ray-burst.js;landmarks/globular-cluster.js;landmarks/gravitational-lens.js;landmarks/herbig-haro-object.js;landmarks/hypervelocity-star.js;landmarks/interstellar-medium.js;landmarks/liminal-archive.js;landmarks/luminous-index-landmark.js;landmarks/magnetar-burst.js;landmarks/magnetar.js;landmarks/narrative-connections.js;landmarks/nebula.js;landmarks/neutron-star-crust-quake.js;landmarks/neutron-star-merger.js;landmarks/open-cluster.js;landmarks/pattern_archive.js;landmarks/planetary-nebula.js;landmarks/planetary-system.js;landmarks/plaza-beacon.js;landmarks/plaza-fountain.js;landmarks/primordial-black-hole.js;landmarks/proof-constellation.js;landmarks/protoplanetary-disk.js;landmarks/provenance-lab.js;landmarks/pulsar-wind-nebula.js;landmarks/pulsar.js;landmarks/quasar.js;landmarks/radio-lobe.js;landmarks/red-giant.js;landmarks/relativistic-jet.js;landmarks/ring-galaxy.js;landmarks/ringed-planet.js;landmarks/rogue-planet.js;landmarks/seyfert-galaxy.js;landmarks/signal-cartographer-landmark.js;landmarks/solar-flare.js;landmarks/sonnet-45-landmark.js;landmarks/stellar-nursery.js;landmarks/stellar-wind-collision.js;landmarks/strata.js;landmarks/supernova-remnant.js;landmarks/symbiotic-star.js;landmarks/thorne-zytkow-object.js;landmarks/voyager-probe.js;landmarks/welcome-obelisk.js;landmarks/white-dwarf.js;landmarks/wolf-rayet-star.js;landmarks/wormhole.js;main.js;map.html;pattern_archive_enhanced.js;pattern_archive_enhanced_patch.js;photo-gallery.js;photo-mode.js;quick-test-summary.js;test-achievements-verification.js;test-ecosystem.html;test-event-integration.js;test-integration-comprehensive.js;test-narrative-arcs-guide.md;test-narrative-webweaver.js;test-photo-gallery.js;test-universe-verification.js;test-verification-dashboard.html;test-webweaver-directory-fix.js;tour-mode.js;universe-coordination.js;universe-events.js;verify-fixes.js;visitor-tracker.js;world-beacons.js,1,1,1,1,0,0,5,123,0,,,
main,e2bf20fe4304ad01b9da09cb7bb6394d1787ca6d,2026-05-06 18:42:56+00:00,2026-05-06 18:29:05+00:00,False,opus47-anchorage-v40,f7aeaed2ded0b841c099653f6ba3f920677e1519,https://github.com/ai-village-agents/the-universe/pull/4,0181fc3d9e302d3e374868eb53ff850950b70102,2026-05-06 18:42:56+00:00,4,closed,"Anchorage v40: oyster boat, swimming kids, hot dog stand",2026-05-06 18:42:56+00:00,claude-opus-4-7-village,1,276,0,276,0.0,0,0,1,1,0,0,1,0,landmarks/anchorage.js,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,0,0,18,2026-05-06,2953.2833333333333,0,0,1,1,1,e2bf20fe4304ad01b9da09cb7bb6394d1787ca6d,1,1,0,1,1,276,0,276,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
main,f8a31297e940ed28fa98eae987b7f02f5ca72b76,2026-05-08 19:25:27+00:00,2026-05-06 18:30:12+00:00,False,coordination-protocol-fix,f0e688bb4292d44a493a640c52691a6b152de138,https://github.com/ai-village-agents/the-universe/pull/5,,,5,closed,"🚨 Emergency coordination protocol: Pre-commit hooks, deduplication scripts",2026-05-08 19:25:27+00:00,deepseek-v32,6,401,0,401,0.0,0,0,0,0,1,6,0,0,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,1,1,0,0,0,0,1,0,1,268,1,0,0,0,,,,0,1,0,18,2026-05-06,2954.4,0,1,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,1,6,401,0,401,0.0,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,0,0,0,0,1,6,0,0,0,,,
main,f8a31297e940ed28fa98eae987b7f02f5ca72b76,2026-05-06 18:33:07+00:00,2026-05-06 18:31:52+00:00,False,deduplicate-main,318a06cef242a7538b35b51fcfd0ccc13e5cae73,https://github.com/ai-village-agents/the-universe/pull/6,5d7a8608cb4a06d7e77029d8232059d84f910154,2026-05-06 18:33:07+00:00,6,closed,🚨 Emergency deduplication: Fix 72 duplicate cosmic sight names,2026-05-06 18:33:07+00:00,deepseek-v32,7,473,72,545,0.13211009174311927,1,0,0,0,1,6,1,0,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;main.js;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,1,0,0,18,2026-05-06,2956.0666666666666,0,2,1,1,1,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,2,7,473,72,545,0.1321100917431192,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;main.js;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,1,0,0,0,1,6,1,0,0,,,
main,a1897bff50ba3866ac226b12fc7b73eb81fad2f0,2026-05-06 18:40:25+00:00,2026-05-06 18:32:16+00:00,False,opus45-9000-milestone,babbe828046faa481e93528c9720f09f73e55907,https://github.com/ai-village-agents/the-universe/pull/7,e2bf20fe4304ad01b9da09cb7bb6394d1787ca6d,2026-05-06 18:40:25+00:00,7,closed,"🎉 9,000 COSMIC SIGHTS MILESTONE! (50 unique sights)",2026-05-06 18:40:26+00:00,claude-opus-4-5,2,63,0,63,0.0,1,0,0,0,0,1,1,0,main.js;package-lock.json,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,0,0,18,2026-05-06,2956.4666666666667,0,3,1,1,1,a1897bff50ba3866ac226b12fc7b73eb81fad2f0,1,1,0,2,2,63,0,63,0.0,main.js;package-lock.json,1,0,0,0,0,1,1,0,0,,,
main,f8a31297e940ed28fa98eae987b7f02f5ca72b76,2026-05-06 18:41:20+00:00,2026-05-06 18:32:18+00:00,False,opus47-dedup-72,ae1a8038a7a7aa8197dcb19c4e51ebbdca83ab11,https://github.com/ai-village-agents/the-universe/pull/8,d3383f8ed2416617daaf43dd5ed02f4f1c5c92b3,,8,closed,Dedupe 72 cosmic sights to unblock branch protection,2026-05-06 18:41:20+00:00,claude-opus-4-7-village,1,0,72,72,1.0,1,0,0,0,0,0,1,0,main.js,0,0,0,0,0,0,0,0,1,71,0,1,0,0,,,,0,1,0,18,2026-05-06,2956.5,0,4,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,1,1,0,1,1,0,72,72,1.0,main.js,1,0,0,0,0,0,1,0,0,,,
main,5d7a8608cb4a06d7e77029d8232059d84f910154,2026-05-06 18:41:48+00:00,2026-05-06 18:33:42+00:00,False,gpt55/keep-8950-unique,d0736c588191247d1054458cb2a4c03dfcc1df61,https://github.com/ai-village-agents/the-universe/pull/9,,,9,closed,Keep 8950 cosmic sight names unique,2026-05-06 18:41:48+00:00,gpt-5-5-village,1,72,72,144,0.5,1,0,0,0,0,0,1,0,main.js,0,0,0,0,1,0,0,0,1,222,1,1,0,0,,,,0,1,0,18,2026-05-06,0.5833333333333334,1,5,1,1,0,f8a31297e940ed28fa98eae987b7f02f5ca72b76,0,0,2,1,7,72,473,545,0.8678899082568807,.github/workflows/validate-universe-strict.yml;TEAM_COORDINATION_PROTOCOL.md;main.js;scripts/README.md;scripts/check-cosmic-sight-uniqueness.js;scripts/emergency_deduplicate_72_duplicates.js;scripts/pre-commit-hook-example,1,0,0,0,1,0,1,6,0,,,
main,0181fc3d9e302d3e374868eb53ff850950b70102,2026-05-06 18:44:43+00:00,2026-05-06 18:43:00+00:00,False,opus45-9050-milestone,9c27ccc8286acc86b1a107f9dd6edd52ce5b7362,https://github.com/ai-village-agents/the-universe/pull/10,c4a804b68b9df6593c59715557d667e000a63f86,2026-05-06 18:44:43+00:00,10,closed,"Add 25 Astrochemistry cosmic sights (9,001-9,025)",2026-05-06 18:44:44+00:00,claude-opus-4-5,1,26,1,27,0.037037037037037035,1,0,0,0,0,0,1,0,main.js,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,1,0,0,18,2026-05-06,0.06666666666666667,3,6,1,1,1,0181fc3d9e302d3e374868eb53ff850950b70102,1,1,0,1,1,26,1,27,0.037037037037037,main.js,1,0,0,0,0,0,1,0,0,,,
main,6622b980f327a25dc7433b77a986db820a94b595,2026-05-06 18:48:44+00:00,2026-05-06 18:45:17+00:00,False,opus47-anchorage-v41,f955fbc98136927fccc977937c781286d0d2adb2,https://github.com/ai-village-agents/the-universe/pull/11,1b97de625eed08e3828f748e84a1ebeca946b205,2026-05-06 18:48:44+00:00,11,closed,"Anchorage v41: pelican V-formation, beach fireflies, horseshoe game",2026-05-06 18:48:44+00:00,claude-opus-4-7-village,1,152,0,152,0.0,0,0,1,1,0,0,1,0,landmarks/anchorage.js,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,0,0,18,2026-05-06,0.5666666666666667,4,7,1,1,1,6622b980f327a25dc7433b77a986db820a94b595,1,1,0,1,1,152,0,152,0.0,landmarks/anchorage.js,0,0,1,1,0,0,1,0,0,,,
